$ python tools/clrmeta.py TheWardrobe --census

binaries examined : 161
managed           : 143
native            : 18

file                                            bytes format runtime    #Strings        #US
The Wardrobe_Data\Managed\UnityEngine.ARModule.dll      25520 PE32   v4.0.30319        824          0
The Wardrobe_Data\Managed\UnityEngine.AccessibilityModule.dll      50088 PE32   v4.0.30319       8284       2480
The Wardrobe_Data\Managed\UnityEngine.AdaptivePerformanceModule.dll     120232 PE32   v4.0.30319      20472       9456
The Wardrobe_Data\Managed\UnityEngine.AndroidJNIModule.dll     121264 PE32   v4.0.30319      15248       8056
The Wardrobe_Data\Managed\UnityEngine.AnimationModule.dll     225192 PE32   v4.0.30319      39192       8308
The Wardrobe_Data\Managed\UnityEngine.AssetBundleModule.dll      41896 PE32   v4.0.30319       4352        612
The Wardrobe_Data\Managed\UnityEngine.AudioModule.dll     142256 PE32   v4.0.30319      26840       7084
The Wardrobe_Data\Managed\UnityEngine.ClothModule.dll      36264 PE32   v4.0.30319       4408        116
The Wardrobe_Data\Managed\UnityEngine.ClusterInputModule.dll      27560 PE32   v4.0.30319       1236          0
The Wardrobe_Data\Managed\UnityEngine.ClusterRendererModule.dll      26544 PE32   v4.0.30319       1136          0
The Wardrobe_Data\Managed\UnityEngine.ContentLoadModule.dll      32168 PE32   v4.0.30319       2816        832
The Wardrobe_Data\Managed\UnityEngine.CoreModule.dll    1982376 PE32   v4.0.30319     298376      93420
The Wardrobe_Data\Managed\UnityEngine.CrashReportingModule.dll      26544 PE32   v4.0.30319       1104          0
The Wardrobe_Data\Managed\UnityEngine.DSPGraphModule.dll      31656 PE32   v4.0.30319       3184          0
The Wardrobe_Data\Managed\UnityEngine.DirectorModule.dll      41392 PE32   v4.0.30319       5088        872
The Wardrobe_Data\Managed\UnityEngine.GIModule.dll      24496 PE32   v4.0.30319        364          0
The Wardrobe_Data\Managed\UnityEngine.GameCenterModule.dll      45480 PE32   v4.0.30319       3424       1964
The Wardrobe_Data\Managed\UnityEngine.GraphicsStateCollectionSerializerModule.dll      14256 PE32   v4.0.30319        428          0
The Wardrobe_Data\Managed\UnityEngine.GridModule.dll      30120 PE32   v4.0.30319       1752          0
The Wardrobe_Data\Managed\UnityEngine.HierarchyCoreModule.dll     109488 PE32   v4.0.30319      15752       1876
The Wardrobe_Data\Managed\UnityEngine.HierarchyModule.dll     102312 PE32   v4.0.30319      17692       3536
The Wardrobe_Data\Managed\UnityEngine.HotReloadModule.dll      24496 PE32   v4.0.30319        380          0
The Wardrobe_Data\Managed\UnityEngine.IMGUIModule.dll     213928 PE32   v4.0.30319      29020       5444
The Wardrobe_Data\Managed\UnityEngine.IdentifiersModule.dll      14760 PE32   v4.0.30319        636          0
The Wardrobe_Data\Managed\UnityEngine.ImageConversionModule.dll      31152 PE32   v4.0.30319       1944         12
The Wardrobe_Data\Managed\UnityEngine.InputForUIModule.dll      57768 PE32   v4.0.30319       8592       3648
The Wardrobe_Data\Managed\UnityEngine.InputLegacyModule.dll      45488 PE32   v4.0.30319       6488        384
The Wardrobe_Data\Managed\UnityEngine.InputModule.dll      28072 PE32   v4.0.30319       1816          0
The Wardrobe_Data\Managed\UnityEngine.InsightsModule.dll      14256 PE32   v4.0.30319        376          0
The Wardrobe_Data\Managed\UnityEngine.JSONSerializeModule.dll      27056 PE32   v4.0.30319       1128        404
The Wardrobe_Data\Managed\UnityEngine.LocalizationModule.dll      26544 PE32   v4.0.30319       1264          0
The Wardrobe_Data\Managed\UnityEngine.MarshallingModule.dll      83376 PE32   v4.0.30319      22112        104
The Wardrobe_Data\Managed\UnityEngine.MultiplayerModule.dll      17840 PE32   v4.0.30319       1528          0
The Wardrobe_Data\Managed\UnityEngine.NVIDIAModule.dll      40368 PE32   v4.0.30319       5300         28
The Wardrobe_Data\Managed\UnityEngine.ParticleSystemModule.dll     171440 PE32   v4.0.30319      37532       1736
The Wardrobe_Data\Managed\UnityEngine.PerformanceReportingModule.dll      25008 PE32   v4.0.30319        632          0
The Wardrobe_Data\Managed\UnityEngine.Physics2DModule.dll     573360 PE32   v4.0.30319      98760      16884
The Wardrobe_Data\Managed\UnityEngine.PhysicsBackendPhysXModule.dll      14256 PE32   v4.0.30319        400          0
The Wardrobe_Data\Managed\UnityEngine.PhysicsModule.dll     181672 PE32   v4.0.30319      32656       3888
The Wardrobe_Data\Managed\UnityEngine.PropertiesModule.dll     149416 PE32   v4.0.30319      24948       5960
The Wardrobe_Data\Managed\UnityEngine.RenderAs2DModule.dll      25520 PE32   v4.0.30319        756          0
The Wardrobe_Data\Managed\UnityEngine.RuntimeInitializeOnLoadManagerInitializerModule.dll      24488 PE32   v4.0.30319        444          0
The Wardrobe_Data\Managed\UnityEngine.ScreenCaptureModule.dll      26024 PE32   v4.0.30319       1104          0
The Wardrobe_Data\Managed\UnityEngine.ShaderRuntimeModule.dll      25520 PE32   v4.0.30319        752          0
