$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
he Wardrobe_Data/Managed/Unity.Mathematics.dll   PE32  managed     752640  csc 48.00 hash 0xDFCAD233     2026-06-05 17:02:28 
ta/Managed/Unity.Multiplayer.Center.Common.dll   PE32  managed      10752  csc 48.00 hash 0x89E7DF6F     2026-06-05 17:02:31 
ity.RenderPipeline.Universal.ShaderLibrary.dll   PE32  managed       9216  csc 48.00 hash 0x8355E84C     2026-06-05 17:02:32 
/Unity.RenderPipelines.Core.Runtime.Shared.dll   PE32  managed       5632  csc 48.00 hash 0x85F52CF7     2026-06-05 17:02:32 
Managed/Unity.RenderPipelines.Core.Runtime.dll   PE32  managed    1197056  csc 48.00 hash 0xA094C831     2026-06-05 17:02:28 
d/Unity.RenderPipelines.Core.ShaderLibrary.dll   PE32  managed       4608  csc 48.00 hash 0x8D825773     2026-06-05 17:02:40 
ed/Unity.RenderPipelines.GPUDriven.Runtime.dll   PE32  managed     235008  csc 48.00 hash 0xD8F77DB6     2026-06-05 17:02:31 
erPipelines.ShaderGraph.ShaderGraphLibrary.dll   PE32  managed       4608  csc 48.00 hash 0xC06BCA66     2026-06-05 17:02:32 
Unity.RenderPipelines.Universal.2D.Runtime.dll   PE32  managed     232960  csc 48.00 hash 0xDD9FC514     2026-06-05 17:02:42 
y.RenderPipelines.Universal.Config.Runtime.dll   PE32  managed       5632  csc 48.00 hash 0xC7C7D92A     2026-06-05 17:02:32 
ed/Unity.RenderPipelines.Universal.Runtime.dll   PE32  managed     758784  csc 48.00 hash 0x86B7009B     2026-06-05 17:02:28 
ed/Unity.RenderPipelines.Universal.Shaders.dll   PE32  managed       4608  csc 48.00 hash 0xD00A9B44     2026-06-05 17:02:31 
he Wardrobe_Data/Managed/Unity.TextMeshPro.dll   PE32  managed     446464  csc 48.00 hash 0xEA9C7571     2026-06-05 17:02:28 
The Wardrobe_Data/Managed/Unity.Timeline.dll     PE32  managed     134144  csc 48.00 hash 0x85AAE3B5     2026-06-05 17:02:31 Unity Technologies
ta/Managed/Unity.UnifiedRayTracing.Runtime.dll   PE32  managed     101376  csc 48.00 hash 0x907728E7     2026-06-05 17:02:31 
Wardrobe_Data/Managed/UnityEngine.AIModule.dll   PE32  managed      77232   csc 8.00 hash 0xC8AAAF9D     2026-06-05 17:02:31 
ardrobe_Data/Managed/UnityEngine.AMDModule.dll   PE32  managed      21928   csc 8.00 hash 0xCBBF55EB     2026-06-05 17:02:32 
Wardrobe_Data/Managed/UnityEngine.ARModule.dll   PE32  managed      25520   csc 8.00 hash 0xEA993D49     2026-06-05 17:02:32 
ta/Managed/UnityEngine.AccessibilityModule.dll   PE32  managed      50088   csc 8.00 hash 0xF810E3CC     2026-06-05 17:02:31 
aged/UnityEngine.AdaptivePerformanceModule.dll   PE32  managed     120232   csc 8.00 hash 0xF54F7E3B     2026-06-05 17:02:33 
_Data/Managed/UnityEngine.AndroidJNIModule.dll   PE32  managed     121264   csc 8.00 hash 0xEA0845ED     2026-06-05 17:02:33 
e_Data/Managed/UnityEngine.AnimationModule.dll   PE32  managed     225192   csc 8.00 hash 0xEE470586     2026-06-05 17:02:31 
Data/Managed/UnityEngine.AssetBundleModule.dll   PE32  managed      41896   csc 8.00 hash 0xD14499A0     2026-06-05 17:02:31 
drobe_Data/Managed/UnityEngine.AudioModule.dll   PE32  managed     142256   csc 8.00 hash 0xD33CF413     2026-06-05 17:02:42 
drobe_Data/Managed/UnityEngine.ClothModule.dll   PE32  managed      36264   csc 8.00 hash 0xF0683C54     2026-06-05 17:02:32 
ata/Managed/UnityEngine.ClusterInputModule.dll   PE32  managed      27560   csc 8.00 hash 0xC8AFDB3B     2026-06-05 17:02:33 
/Managed/UnityEngine.ClusterRendererModule.dll   PE32  managed      26544   csc 8.00 hash 0x8FE6738A     2026-06-05 17:02:32 
Data/Managed/UnityEngine.ContentLoadModule.dll   PE32  managed      32168   csc 8.00 hash 0x988E8478     2026-06-05 17:02:31 
rdrobe_Data/Managed/UnityEngine.CoreModule.dll   PE32  managed    1982376   csc 8.00 hash 0x9190AAC4     2026-06-05 17:02:28 
a/Managed/UnityEngine.CrashReportingModule.dll   PE32  managed      26544   csc 8.00 hash 0xDF50B5D4     2026-06-05 17:02:31 
